geometry,lon,lat
POINT (22.130588347000124 -16.243256789999716),22.130588347000124,-16.243256789999716
POINT (22.130588347000124 -16.233256789999714),22.130588347000124,-16.233256789999714
POINT (22.14058834700012 -16.26325678999972),22.14058834700012,-16.26325678999972
POINT (22.14058834700012 -16.253256789999718),22.14058834700012,-16.253256789999718
POINT (22.14058834700012 -16.243256789999716),22.14058834700012,-16.243256789999716
POINT (22.14058834700012 -16.233256789999714),22.14058834700012,-16.233256789999714
POINT (22.14058834700012 -16.223256789999716),22.14058834700012,-16.223256789999716
POINT (22.15058834700012 -16.253256789999718),22.15058834700012,-16.253256789999718
POINT (22.15058834700012 -16.243256789999716),22.15058834700012,-16.243256789999716
POINT (22.15058834700012 -16.233256789999714),22.15058834700012,-16.233256789999714
POINT (22.15058834700012 -16.223256789999716),22.15058834700012,-16.223256789999716
POINT (22.15058834700012 -16.21325678999971),22.15058834700012,-16.21325678999971
POINT (22.15058834700012 -16.203256789999713),22.15058834700012,-16.203256789999713
POINT (22.16058834700012 -16.233256789999714),22.16058834700012,-16.233256789999714
POINT (22.16058834700012 -16.223256789999716),22.16058834700012,-16.223256789999716
POINT (22.16058834700012 -16.21325678999971),22.16058834700012,-16.21325678999971
POINT (22.16058834700012 -16.203256789999713),22.16058834700012,-16.203256789999713
POINT (22.16058834700012 -16.19325678999971),22.16058834700012,-16.19325678999971
POINT (22.16058834700012 -16.18325678999971),22.16058834700012,-16.18325678999971
POINT (22.170588347000123 -16.223256789999716),22.170588347000123,-16.223256789999716
POINT (22.170588347000123 -16.21325678999971),22.170588347000123,-16.21325678999971
POINT (22.170588347000123 -16.203256789999713),22.170588347000123,-16.203256789999713
POINT (22.170588347000123 -16.19325678999971),22.170588347000123,-16.19325678999971
POINT (22.170588347000123 -16.18325678999971),22.170588347000123,-16.18325678999971
POINT (22.170588347000123 -16.1732567899997),22.170588347000123,-16.1732567899997
POINT (22.170588347000123 -16.16325678999971),22.170588347000123,-16.16325678999971
POINT (22.18058834700013 -16.21325678999971),22.18058834700013,-16.21325678999971
POINT (22.18058834700013 -16.203256789999713),22.18058834700013,-16.203256789999713
POINT (22.18058834700013 -16.19325678999971),22.18058834700013,-16.19325678999971
POINT (22.18058834700013 -16.18325678999971),22.18058834700013,-16.18325678999971
POINT (22.18058834700013 -16.1732567899997),22.18058834700013,-16.1732567899997
POINT (22.18058834700013 -16.16325678999971),22.18058834700013,-16.16325678999971
POINT (22.18058834700013 -16.153256789999705),22.18058834700013,-16.153256789999705
POINT (22.19058834700013 -16.203256789999713),22.19058834700013,-16.203256789999713
POINT (22.19058834700013 -16.19325678999971),22.19058834700013,-16.19325678999971
POINT (22.19058834700013 -16.18325678999971),22.19058834700013,-16.18325678999971
POINT (22.19058834700013 -16.1732567899997),22.19058834700013,-16.1732567899997
POINT (22.19058834700013 -16.16325678999971),22.19058834700013,-16.16325678999971
POINT (22.19058834700013 -16.153256789999705),22.19058834700013,-16.153256789999705
POINT (22.19058834700013 -16.1432567899997),22.19058834700013,-16.1432567899997
POINT (22.19058834700013 -16.1332567899997),22.19058834700013,-16.1332567899997
POINT (22.19058834700013 -16.123256789999697),22.19058834700013,-16.123256789999697
POINT (22.230588347000133 -15.15325678999955),22.230588347000133,-15.15325678999955
POINT (22.230588347000133 -15.143256789999548),22.230588347000133,-15.143256789999548
POINT (22.240588347000134 -16.44325678999975),22.240588347000134,-16.44325678999975
POINT (22.240588347000134 -15.163256789999549),22.240588347000134,-15.163256789999549
POINT (22.240588347000134 -15.15325678999955),22.240588347000134,-15.15325678999955
POINT (22.240588347000134 -15.143256789999548),22.240588347000134,-15.143256789999548
POINT (22.240588347000134 -15.133256789999542),22.240588347000134,-15.133256789999542
POINT (22.25058834700014 -16.44325678999975),22.25058834700014,-16.44325678999975
POINT (22.25058834700014 -15.173256789999552),22.25058834700014,-15.173256789999552
POINT (22.25058834700014 -15.163256789999549),22.25058834700014,-15.163256789999549
POINT (22.25058834700014 -15.15325678999955),22.25058834700014,-15.15325678999955
POINT (22.25058834700014 -15.143256789999548),22.25058834700014,-15.143256789999548
POINT (22.25058834700014 -15.133256789999542),22.25058834700014,-15.133256789999542
POINT (22.260588347000137 -16.45325678999975),22.260588347000137,-16.45325678999975
POINT (22.260588347000137 -16.44325678999975),22.260588347000137,-16.44325678999975
POINT (22.260588347000137 -16.43325678999975),22.260588347000137,-16.43325678999975
POINT (22.260588347000144 -15.163256789999549),22.260588347000144,-15.163256789999549
POINT (22.260588347000144 -15.15325678999955),22.260588347000144,-15.15325678999955
POINT (22.260588347000144 -15.143256789999548),22.260588347000144,-15.143256789999548
POINT (22.260588347000144 -15.133256789999542),22.260588347000144,-15.133256789999542
POINT (22.260588347000144 -15.123256789999541),22.260588347000144,-15.123256789999541
POINT (22.270588347000142 -16.45325678999975),22.270588347000142,-16.45325678999975
POINT (22.270588347000142 -16.44325678999975),22.270588347000142,-16.44325678999975
POINT (22.270588347000142 -16.43325678999975),22.270588347000142,-16.43325678999975
POINT (22.270588347000142 -15.15325678999955),22.270588347000142,-15.15325678999955
POINT (22.270588347000142 -15.143256789999548),22.270588347000142,-15.143256789999548
POINT (22.270588347000142 -15.133256789999542),22.270588347000142,-15.133256789999542
POINT (22.270588347000142 -15.123256789999541),22.270588347000142,-15.123256789999541
POINT (22.270588347000142 -15.113256789999543),22.270588347000142,-15.113256789999543
POINT (22.270588347000142 -15.103256789999541),22.270588347000142,-15.103256789999541
POINT (22.28058834700014 -16.45325678999975),22.28058834700014,-16.45325678999975
POINT (22.28058834700014 -16.44325678999975),22.28058834700014,-16.44325678999975
POINT (22.28058834700014 -16.43325678999975),22.28058834700014,-16.43325678999975
POINT (22.280588347000144 -15.15325678999955),22.280588347000144,-15.15325678999955
POINT (22.280588347000144 -15.123256789999541),22.280588347000144,-15.123256789999541
POINT (22.280588347000144 -15.113256789999543),22.280588347000144,-15.113256789999543
POINT (22.290588347000146 -16.45325678999975),22.290588347000146,-16.45325678999975
POINT (22.290588347000146 -16.44325678999975),22.290588347000146,-16.44325678999975
POINT (22.290588347000146 -16.43325678999975),22.290588347000146,-16.43325678999975
POINT (22.290588347000142 -15.123256789999541),22.290588347000142,-15.123256789999541
POINT (22.290588347000142 -15.113256789999543),22.290588347000142,-15.113256789999543
POINT (22.300588347000144 -16.45325678999975),22.300588347000144,-16.45325678999975
POINT (22.300588347000144 -16.44325678999975),22.300588347000144,-16.44325678999975
POINT (22.300588347000144 -16.43325678999975),22.300588347000144,-16.43325678999975
POINT (22.300588347000144 -16.423256789999748),22.300588347000144,-16.423256789999748
POINT (22.300588347000144 -16.413256789999743),22.300588347000144,-16.413256789999743
POINT (22.300588347000144 -16.403256789999745),22.300588347000144,-16.403256789999745
POINT (22.300588347000144 -15.133256789999542),22.300588347000144,-15.133256789999542
POINT (22.300588347000144 -15.123256789999541),22.300588347000144,-15.123256789999541
POINT (22.300588347000144 -15.113256789999543),22.300588347000144,-15.113256789999543
POINT (22.300588347000144 -15.103256789999541),22.300588347000144,-15.103256789999541
